Dataset_ID,Table,Info_type,Info,Variable ,Type,Questions?,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,13c (‰),13c,value_num,should we unify the units ex. meters and m,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,permille,13c,unit,value_factor?,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,14c (‰),14c,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,14c_sigma (‰),14c,sigma,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,permille,14c,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,14c_age (BP),14c_age,value_num ,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,14c_age_sigma (BP),14c_age,sigma,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,BP,14c_age,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,15n (‰),15n,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,permille,15n,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,2d_position (2d_position),2d_position ,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,acknowledgement,acknowledgement,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,citation,column,acknowledgement_usage,acknowledgement_usage,value_string,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_dith (specified by al_fe_units),al_dith,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_units (extract_units),al_dith,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_method,al_dith,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_other (specified by al_fe_units),al_other,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_units (extract_units),al_other,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_method,al_other,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_ox (specified by al_fe_units),al_ox,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_units (extract_units),al_ox,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,al_fe_method,al_ox,method,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,column,aspect_deg ,aspect_degree,value_num ,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,entry,degree,aspect_degree,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,base_sum (specified by cec_h_units),base_sum,value_num,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,cec_h_units (extract_units),base_sum,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,bs (percent),base_saturation,value_num ,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,percent,base_saturation,unit,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,column,bs_sum (percent),base_saturation_sum,value_num ,,,,,,,,,,,,,,,,,,,,,
ISCN3,layer,entry,percent,base_saturation_sum,unit,,,,,,,,,,,,,,,,,,,,,
