"","data_product","data_table","data_column","variable","data_type","questions"
"1","ISCN3","layer","13c (‰)","13c","value_number","NA"
"2","ISCN3","layer","14c (‰)","14c","value_number","NA"
"3","ISCN3","layer","14c_sigma (‰)","14c","sigma","NA"
"4","ISCN3","layer","14c_age (BP)","age","value_number","NA"
"5","ISCN3","layer","14c_age_sigma (BP)","age","sigma","NA"
"6","ISCN3","layer","15n (‰)","15n","value_number","NA"
"7","ISCN3","profile","2d_position (2d_position)","2d_position","value_factor","NA"
"8","ISCN3","citation","acknowledgement","acknowledgement","value_string","NA"
"9","ISCN3","citation","acknowledgement_usage","acknowledgement_usage","value_string","NA"
"10","ISCN3","layer","al_dith (specified by al_fe_units)","extractable_al","value_number","NA"
"11","ISCN3","layer","al_other (specified by al_fe_units)","extractable_al","value_number","NA"
"12","ISCN3","layer","al_ox (specified by al_fe_units)","extractable_al","value_number","NA"
"13","ISCN3","layer","al_fe_units (extract_units)","extractable_al","unit","NA"
"14","ISCN3","layer","al_fe_method","extractable_al","method","NA"
"15","ISCN3","profile","aspect_deg","aspect_degree","value_number","NA"
"16","ISCN3","layer","base_sum (specified by cec_h_units)","base_sum","value_number","NA"
"17","ISCN3","layer","cec_h_units (extract_units)","base_sum","unit","NA"
"18","ISCN3","layer","bs (percent)","base_saturation","value_number","NA"
"19","ISCN3","layer","bs_sum (percent)","base_saturation_sum","value_number","NA"
"20","ISCN3","layer","bd_method","bulk_density","method","NA"
"21","ISCN3","layer","bdNRCS_prep_code","bulk_density","method","NA"
"22","ISCN3","layer","bd_other (g cm-3)","bulk_density","value_number","NA"
"23","ISCN3","layer","bd_samp (g cm-3)","bulk_density","value_number","NA"
"24","ISCN3","layer","bd_tot (g cm-3)","bulk_density","value_number","NA"
"25","ISCN3","layer","bd_whole (g cm-3)","bulk_density","value_number","NA"
"26","ISCN3","layer","c_to_n (mass ratio)","c_to_n","value_number","NA"
"27","ISCN3","layer","cNRCS_prep_code","total_carbon","method","NA"
"28","ISCN3","layer","c_method","total_carbon","method","NA"
"29","ISCN3","layer","c_tot (percent)","total_carbon","value_number","NA"
"30","ISCN3","layer","ca_al (specified by bc_units)","ca_al","value_number","NA"
"31","ISCN3","layer","bc_units (extract_units)","ca_al","unit","NA"
"32","ISCN3","layer","bc_method","ca_al","method","NA"
"33","ISCN3","layer","ca_ext (specified by bc_units)","ca_ext","value_number","NA"
"34","ISCN3","layer","bc_units (extract_units)","ca_ext","unit","NA"
"35","ISCN3","layer","bc_method","ca_ext","method","NA"
"36","ISCN3","layer","caco3 (percent)","caco3","value_number","NA"
"37","ISCN3","layer","cat_exch (cmol H+ kg-1)","cation_exchange_capacity","value_number","NA"
"38","ISCN3","layer","cec_sum (specified by cec_h_units)","exchangeable_cations_sum","value_number","NA"
"39","ISCN3","layer","cec_h_units (extract_units)","exchangeable_cations_sum","unit","NA"
"40","ISCN3","citation","citation","citation","value_string","NA"
"41","ISCN3","citation","citation_usage","citation","value_string","NA"
"42","ISCN3","layer","clay_tot_psa (percent)","clay","value_number","NA"
"43","ISCN3","layer","color","color","value_string","NA"
"44","ISCN3","dataset","contact_email","contact_email","value_string","NA"
"45","ISCN3","dataset","contact_name","contact_name","value_string","NA"
"46","ISCN3","profile","country (country)","country","value_string","NA"
"47","ISCN3","layer","country (country)","country","value_string","NA"
"48","ISCN3","citation","curator_email","curator_email","value_string","NA"
"49","ISCN3","dataset","curator_email","curator_email","value_string","NA"
"50","ISCN3","citation","curator_name","curator_name","value_string","NA"
"51","ISCN3","dataset","curator_name","curator_name","value_string","NA"
"52","ISCN3","citation","curator_organization","curator_organization","value_string","NA"
"53","ISCN3","dataset","curator_organization","curator_organization","value_string","NA"
"54","ISCN3","dataset","dataset_description","dataset_description","value_string","NA"
"55","ISCN3","citation","dataset_name","dataset_name","id","NA"
"56","ISCN3","dataset","dataset_name","dataset_name","id","NA"
"57","ISCN3","profile","dataset_name_sub","dataset_name","id","NA"
"58","ISCN3","layer","dataset_name_sub","dataset_name","id","NA"
"59","ISCN3","citation","dataset_type (dataset_type)","dataset_type","value_string","NA"
"60","ISCN3","dataset","dataset_type (dataset_type)","dataset_type","value_string","NA"
"61","ISCN3","profile","datum (datum)","datum","value_string","NA"
"62","ISCN3","layer","datum (datum)","datum","value_string","NA"
"63","ISCN3","profile","drainagecl (drainage)","drainage_class","value_string","NA"
"64","ISCN3","layer","ecec (specified by cec_h_units)","effective_cation_exchange_capacity","value_number","NA"
"65","ISCN3","layer","cec_h_units (extract_units)","effective_cation_exchange_capacity","unit","NA"
"66","ISCN3","profile","ecoregion","ecoregion","value_string","NA"
"67","ISCN3","profile","elevation (m)","elevation","value_number","NA"
"68","ISCN3","layer","fe_dith (specified by al_fe_units)","extractable_fe","value_number","NA"
"69","ISCN3","layer","fe_other (specified by al_fe_units)","extractable_fe","value_number","NA"
"70","ISCN3","layer","fe_ox (specified by al_fe_units)","extractable_fe","value_number","NA"
"71","ISCN3","layer","al_fe_units (extract_units)","extractable_fe","unit","NA"
"72","ISCN3","layer","al_fe_method","extractable_fe","method","NA"
"73","ISCN3","layer","fraction_modern","fraction_modern","value_number","NA"
"74","ISCN3","layer","fraction_modern_sigma","fraction_modern","sigma","NA"
"75","ISCN3","layer","h_ext (specified by metal_ext_units)","h_ext","value_number","What does ISCN3::h_ext mean?"
"76","ISCN3","layer","metal_ext_units (extract_units)","h_ext","unit","NA"
"77","ISCN3","layer","metal_ext_method","h_ext","method","NA"
"78","ISCN3","layer","hzn","horizon","value_string","NA"
"79","ISCN3","layer","hzn_desgn","horizon_designation","value_string","NA"
"80","ISCN3","layer","hzn_desgn_other","horizon_designation_other","value_string","NA"
