"","data_product","data_table","data_column","data_type","entry","questions"
"1","ISCN3","layer","13c (‰)","unit","permille","NA"
"2","ISCN3","layer","14c (‰)","unit","permille","NA"
"3","ISCN3","layer","14c_sigma (‰)","unit","permille","NA"
"4","ISCN3","layer","14c_age (BP)","method","14C age model",NA
"5","ISCN3","layer","14c_age (BP)","unit","BP","NA"
"6","ISCN3","layer","15n (‰)","unit","permille","NA"
"7","ISCN3","layer","al_dith (specified by al_fe_units)","method","Oxalate Extractable Al","NA"
"8","ISCN3","layer","al_other (specified by al_fe_units)","method","Other Extractable Al","NA"
"9","ISCN3","layer","al_ox (specified by al_fe_units)","method","Oxalate Extractable Al","NA"
"10","ISCN3","profile","aspect_deg","unit","degree","NA"
"11","ISCN3","layer","bs (percent)","unit","percent","NA"
"12","ISCN3","layer","bs_sum (percent)","unit","percent","NA"
"13","ISCN3","layer","bd_other (g cm-3)","description","Bulk Density Other","NA"
"14","ISCN3","layer","bd_other (g cm-3)","unit","g cm-3","NA"
"15","ISCN3","layer","bd_samp (g cm-3)","description","Bulk Density, Coarse Fragments Removed","NA"
"16","ISCN3","layer","bd_samp (g cm-3)","unit","g cm-3","NA"
"17","ISCN3","layer","bd_tot (g cm-3)","description","Bulk Density With Coarse Fragments","NA"
"18","ISCN3","layer","bd_tot (g cm-3)","unit","g cm-3","NA"
"19","ISCN3","layer","bd_whole (g cm-3)","description","Bulk Density Minus Estimated Coarse Fragments","NA"
"20","ISCN3","layer","bd_whole (g cm-3)","unit","g cm-3","NA"
"21","ISCN3","layer","bdNRCS_prep_code","control_vocabulary","[[reference NRCS Soil lab manual]]","??reference NRCS soil lab manual"
"22","ISCN3","layer","c_to_n (mass ratio)","unit","mass ratio","NA"
"23","ISCN3","layer","cNRCS_prep_code","control_vocabulary","[[reference NRCS Soil lab manual]]","??reference NRCS soil lab manual"
"24","ISCN3","layer","c_tot (percent)","unit","percent","NA"
"25","ISCN3","layer","caco3 (percent)","unit","percent","NA"
"26","ISCN3","layer","cat_exch (cmol H+ kg-1)","unit","cmol H+ kg-1","NA"
"27","ISCN3","layer","clay_tot_psa (percent)","unit","percent","NA"
"28","ISCN3","profile","dataset_name_sub","description","Submition database",NA
"29","ISCN3","layer","dataset_name_sub","description","Submition database",NA
"30","ISCN3","profile","dataset_name_soc","description","SOC data source",NA
"31","ISCN3","layer","datum (datum)","unit","datum","NA"
"32","ISCN3","profile","elevation (m)","unit","m","NA"
"33","ISCN3","layer","fe_dith (specified by al_fe_units)","method","Dithionite Extractable Fe",NA
"34","ISCN3","layer","fe_other (specified by al_fe_units)","method","Other Extractable Fe",NA
"35","ISCN3","layer","fe_ox (specified by al_fe_units)","method","Oxalate Extractable Fe",NA
"36","ISCN3","profile","landscape (landscape)","vocabulary_family","landscape",NA
"37","ISCN3","profile","landuse (landsat)","vocabulary_family","landsat",NA
"38","ISCN3","profile","lat (dec. deg)","unit","degrees","NA"
