new name,vanGestel,Crowther,CCRCN,Holmquist,ISCN3,ISRaD,,,,,,,,,,,,,,,,,,,
latitude,lat,LAT,"(site_latitude_min, site_latitude_max)","(site_latitude_min, site_latitude_max)",lat,site_lat,,,,,,,,,,,,,,,,,,,
longitude,lon,LONG,"(site_longitude_min, site_longitude_max)","(site_longitude_min, site_longitude_max)",long,flx_lat,,,,,,,,,,,,,,,,,,,
latitude_minimum,,,site_latitude_min ,,,pro_lat,,,,,,,,,,,,,,,,,,,
latitude_maximum,,,site_latitude_max,,,site_long,,,,,,,,,,,,,,,,,,,
longitude_minimum,,,site_longitude_min,,,flx_long,,,,,,,,,,,,,,,,,,,
longitude_maximum,,,site_longitude_max,,,pro_long,,,,,,,,,,,,,,,,,,,
site_id,site.id,Study,site_id,,,site_name,,,,,,,,,,,,,,,,,,,
sand,perc.sand,% sand,,,sand_tot_psa,lyr_sand_tot_psa,,,,,,,,,,,,,,,,,,,
silt,perc.silt,% silt,,,silt_tot_psa,lyr_silt_tot_psa,,,,,,,,,,,,,,,,,,,
clay,,Author Updated % clay,,,clay_tot_psa,lyr_clay_tot_psa,,,,,,,,,,,,,,,,,,,
clay,perc.clay,% clay,,,,,,,,,,,,,,,,,,,,,,,
bulk_density,bulk.density,Bulk Density,dry_bulk_density,dry_bulk_density,bd_samp,lyr_bd_samp,,,,,,,,,,,,,,,,,,,
bulk_density,bd,,,,"bd_tot, bd_whole",lyr_bd_tot,,,,,,,,,,,,,,,,,,,
bulk_density,,,,,bd_other,,,,,,,,,,,,,,,,,,,,
mean_annual_temperature,mat,Temperature (avg. annual degrees C),,,mat,pro_MAT,,,,,,,,,,,,,,,,,,,
mean_annual_percipitation,map,Precipitation (avg. annual mm),,,map,pro_MAP,,,,,,,,,,,,,,,,,,,
treatment_duration_start,,,study_start_date,,,,,,,,,,,,,,,,,,,,,,
treatment_duration_end,,,study_end_date,,,,,,,,,,,,,,,,,,,,,,
treatment_duration,duration,Length of Study (years),,,,,,,,,,,,,,,,,,,,,,,
biome,biome,Biome,,,,,,,,,,,,,,,,,,,,,,,
biome,,Author Updated Biome,,,,,,,,,,,,,,,,,,,,,,,
treatment_type,treatments,"Treatment (W=warming, C=control)",,,,,,,,,,,,,,,,,,,,,,,
treatment_type,trt,,,,,,,,,,,,,,,,,,,,,,,,
pH,pH,pH (from ISRIC),,,ph_cacl,lyr_ph_cacl,,,,,,,,,,,,,,,,,,,
pH,,Author Updated pH,,,ph_h2o,lyr_ph_h2o,,,,,,,,,,,,,,,,,,,
pH,,,,,ph_other,lyr_ph,,,,,,,,,,,,,,,,,,,
elevation,elevation,,core_elevation,,elevation,site_elevation,,,,,,,,,,,,,,,,,,,
elevation,,,,,,pro_elevation,,,,,,,,,,,,,,,,,,,
vegetation_species,species,Ecosystem,species,,,,,,,,,,,,,,,,,,,,,,
organic_matter,percent.om,,fraction_organic_matter,fraction_organic_matter,,,,,,,,,,,,,,,,,,,,,
Author,,Author,author,,,,,,,,,,,,,,,,,,,,,,
study_id,,,study_id,study_id,,,,,,,,,,,,,,,,,,,,,
core_id,,,core_id,core_id,,,,,,,,,,,,,,,,,,,,,
depth_mean,soil.depth.pool,,,,,,,,,,,,,,,,,,,,,,,,
depth_soil_temperature,soilT.depth,,,,,,,,,,,,,,,,,,,,,,,,
depth_top,,,depth_min,depth_min,layer_top,,,,,,,,,,,,,,,,,,,,
depth_bottom,,,depth_max,depth_max,layer_bot,,,,,,,,,,,,,,,,,,,,
depth_water,,,,,depth_water,pro_depth_water,,,,,,,,,,,,,,,,,,,
depth_site_thaw,,,,,thaw_depth_site,,,,,,,,,,,,,,,,,,,,
depth_bedrock,,,,,bedrock_depth,,,,,,,,,,,,,,,,,,,,
carbon_organic,,%C,"(fraction_carbon, fraction_carbon_type)",,oc,lyr_c_org,,,,,,,,,,,,,,,,,,,
carbon_organic,,,,,,frc_c_org,,,,,,,,,,,,,,,,,,,
publication_type,,,publication_type,publication_type,,,,,,,,,,,,,,,,,,,,,
sample_count,,,,n,,,,,,,,,,,,,,,,,,,,,
coring_method,,,coring_method,coring_method,,,,,,,,,,,,,,,,,,,,,
roots_flag,,,roots_flag,roots_flag,,,,,,,,,,,,,,,,,,,,,
compaction_flag,,,compaction_flag,compaction_flag,,,,,,,,,,,,,,,,,,,,,
bulk_density_dry_temperature,,,dry_bulk_density_temperature,dry_bulk_density_temperature,,,,,,,,,,,,,,,,,,,,,
bulk_density_dry_time,,,dry_bulk_density_time,dry_bulk_density_time,,,,,,,,,,,,,,,,,,,,,
bulk_density_dry_flag,,,dry_bulk_density_flag,dry_bulk_density_flag,,,,,,,,,,,,,,,,,,,,,
loss_on_ignition_temperature,,,loss_on_ignition_temperature,loss_on_ignition_temperature,,,,,,,,,,,,,,,,,,,,,
loss_on_ignition_time,,,loss_on_ignition_time,loss_on_ignition_time,,,,,,,,,,,,,,,,,,,,,
loss_on_ignition_flag,,,loss_on_ignition_flag,loss_on_ignition_flag,,,,,,,,,,,,,,,,,,,,,
carbon_measured_or_modeled,,,carbon_measured_or_modeled,carbon_measured_or_modeled,,,,,,,,,,,,,,,,,,,,,
carbonates_removed,,,carbonates_removed,carbonates_removed,,,,,,,,,,,,,,,,,,,,,
carbonate_removal_method,,,carbonate_removal_method,carbonate_removal_method,,,,,,,,,,,,,,,,,,,,,
fraction_carbon_flag,,,,fraction_carbon_flag,,,,,,,,,,,,,,,,,,,,,
one_liner,,,one_liner,,,,,,,,,,,,,,,,,,,,,,
study_code,,,study_code,,,,,,,,,,,,,,,,,,,,,,
title,,,title,,,,,,,,,,,,,,,,,,,,,,
abstract,,,abstract,,,,,,,,,,,,,,,,,,,,,,
key_words,,,key_words,,,,,,,,,,,,,,,,,,,,,,
last_name,,,last_name,,,,,,,,,,,,,,,,,,,,,,
given_name,,,given_name,,,,,,,,,,,,,,,,,,,,,,
institution,,,institution,,,,,,,,,,,,,,,,,,,,,,
email,,,email,,,,,,,,,,,,,,,,,,,,,,
address,,,address,,,,,,,,,,,,,,,,,,,,,,
phone,,,phone,,,,,,,,,,,,,,,,,,,,,,
corresponding_author,,,corresponding_author,,,,,,,,,,,,,,,,,,,,,,
funding_agency,,,funding_agency,,funding_organizationA28,,,,,,,,,,,,,,,,,,,,
funding_id,,,funding_id,,,,,,,,,,,,,,,,,,,,,,
funding_notes,,,funding_notes,,,,,,,,,,,,,,,,,,,,,,
citation,,,bibtex_citation,,"citation, citation_usage",,,,,,,,,,,,,,,,,,,,
year,,,year,,,,,,,,,,,,,,,,,,,,,,
journal,,,journal,,,,,,,,,,,,,,,,,,,,,,
volume,,,volume,,,,,,,,,,,,,,,,,,,,,,
number,,,number,,,,,,,,,,,,,,,,,,,,,,
pages,,,pages,,,,,,,,,,,,,,,,,,,,,,
url,,,url,,,,,,,,,,,,,,,,,,,,,,
doi,,,doi,,,doi,,,,,,,,,,,,,,,,,,,
annote,,,annote,,,,,,,,,,,,,,,,,,,,,,
booktitle,,,booktitle,,,,,,,,,,,,,,,,,,,,,,
chapter,,,chapter,,,,,,,,,,,,,,,,,,,,,,
crossref,,,crossref,,,,,,,,,,,,,,,,,,,,,,
edition,,,edition,,,,,,,,,,,,,,,,,,,,,,
editor,,,editor,,,,,,,,,,,,,,,,,,,,,,
howpublished,,,howpublished,,,,,,,,,,,,,,,,,,,,,,
key ,,,key ,,,,,,,,,,,,,,,,,,,,,,
month,,,month,,,,,,,,,,,,,,,,,,,,,,
note,,,note,,,,,,,,,,,,,,,,,,,,,,
organization,,,organization,,,,,,,,,,,,,,,,,,,,,,
publisher,,,publisher,,,,,,,,,,,,,,,,,,,,,,
school,,,school,,,,,,,,,,,,,,,,,,,,,,
series,,,series,,,,,,,,,,,,,,,,,,,,,,
type,,,type,,,,,,,,,,,,,,,,,,,,,,
sediment_sieved_flag,,,sediment_sieved_flag,,,,,,,,,,,,,,,,,,,,,,
sediment_sieve_size,,,sediment_sieve_size,,,,,,,,,,,,,,,,,,,,,,
dry_bulk_density_sample_volume,,,dry_bulk_density_sample_volume,,,,,,,,,,,,,,,,,,,,,,
dry_bulk_density_sample_mass,,,dry_bulk_density_sample_mass,,,,,,,,,,,,,,,,,,,,,,
loss_on_ignition_sample_volume,,,loss_on_ignition_sample_volume,,,,,,,,,,,,,,,,,,,,,,
loss_on_ignition_sample_mass,,,loss_on_ignition_sample_mass,,,,,,,,,,,,,,,,,,,,,,
fraction_carbon_method,,,fraction_carbon_method,,,,,,,,,,,,,,,,,,,,,,
carbon_profile_notes,,,carbon_profile_notes,,,,,,,,,,,,,,,,,,,,,,
cs137_counting_method,,,cs137_counting_method,,,,,,,,,,,,,,,,,,,,,,
pb210_counting_method,,,pb210_counting_method,,,,,,,,,,,,,,,,,,,,,,
excess_pb210_rate,,,excess_pb210_rate,,,,,,,,,,,,,,,,,,,,,,
excess_pb210_model,,,excess_pb210_model,,,,,,,,,,,,,,,,,,,,,,
ra226_assumption,,,ra226_assumption,,,,,,,,,,,,,,,,,,,,,,
c14_counting_method,,,c14_counting_method,,,,,,,,,,,,,,,,,,,,,,
dating_notes,,,dating_notes,,,,,,,,,,,,,,,,,,,,,,
age_depth_model_reference,,,age_depth_model_reference,,,,,,,,,,,,,,,,,,,,,,
age_depth_model_notes,,,age_depth_model_notes,,,,,,,,,,,,,,,,,,,,,,
site_description,,,site_description,,site_note,site_note,,,,,,,,,,,,,,,,,,,
site_boundaries,,,site_boundaries,,,,,,,,,,,,,,,,,,,,,,
salinity_class,,,salinity_class,,,,,,,,,,,,,,,,,,,,,,
salinity_method,,,salinity_method,,,,,,,,,,,,,,,,,,,,,,
salinity_notes,,,salinity_notes,,,,,,,,,,,,,,,,,,,,,,
vegetation_class,,,vegetation_class,,vegclass_nat,,,,,,,,,,,,,,,,,,,,
vegetation_class,,,,,vegclass,,,,,,,,,,,,,,,,,,,,
vegetation_class,,,,,vegclass_local,,,,,,,,,,,,,,,,,,,,
vegetation_method,,,vegetation_method,,vegclass_local_type,,,,,,,,,,,,,,,,,,,,
