"","vocabulary_family","vocabulary","vocabulary_description"
"1","2d_position","backslope",NA
"2","2d_position","base slope",NA
"3","2d_position","center third - mountainflank",NA
"4","2d_position","crest",NA
"5","2d_position","dip",NA
"6","2d_position","footslope",NA
"7","2d_position","free face",NA
"8","2d_position","head slope",NA
"9","2d_position","interfluve",NA
"10","2d_position","lower third - mountainflank",NA
"11","2d_position","mountainbase",NA
"12","2d_position","mountainflank",NA
"13","2d_position","mountaintop",NA
"14","2d_position","none",NA
"15","2d_position","nose slope",NA
"16","2d_position","other",NA
"17","2d_position","rise",NA
"18","2d_position","riser",NA
"19","2d_position","shoulder",NA
"20","2d_position","side slope",NA
"21","2d_position","summit",NA
"22","2d_position","talf",NA
"23","2d_position","toeslope",NA
"24","2d_position","tread",NA
"25","2d_position","upper third - mountainflank",NA
"26","ccon_type","min","mineral"
"27","ccon_type","org","organic"
"28","ccon_type","whole","whole soil"
"29","country","Afghanistan",NA
"30","country","Albania",NA
"31","country","Antarctica",NA
"32","country","Argentina",NA
"33","country","Australia",NA
"34","country","Azores",NA
"35","country","Belgium",NA
"36","country","Belize",NA
"37","country","Bolivia",NA
"38","country","Botswana",NA
"39","country","Brazil",NA
"40","country","Bulgaria",NA
"41","country","Burundi",NA
"42","country","Cameroon",NA
"43","country","Canada",NA
"44","country","Canary Islands",NA
"45","country","Chile",NA
"46","country","China",NA
"47","country","Colombia",NA
"48","country","Congo (Democratic Republic of the)",NA
"49","country","Costa Rica",NA
"50","country","Cuba",NA
"51","country","Dahomey",NA
"52","country","Denmark",NA
"53","country","Ecuador",NA
"54","country","Egypt",NA
"55","country","El Salvador",NA
"56","country","Estonia",NA
"57","country","Federated States of Micronesia",NA
"58","country","Finland",NA
"59","country","France",NA
"60","country","Gambia",NA
"61","country","Georgia",NA
"62","country","Germany",NA
"63","country","Ghana",NA
"64","country","Greece",NA
"65","country","Greenland",NA
"66","country","Guatemala",NA
"67","country","Guinea",NA
"68","country","Guyana",NA
"69","country","Haiti",NA
"70","country","Honduras",NA
"71","country","Hungary",NA
"72","country","Iceland",NA
"73","country","India",NA
"74","country","Indonesia",NA
"75","country","Iran",NA
"76","country","Iraq",NA
"77","country","Ireland",NA
"78","country","Italy",NA
"79","country","Ivory Coast",NA
"80","country","Japan",NA
"81","country","Jordan",NA
"82","country","Kenya",NA
"83","country","Korea, Democratic People's",NA
"84","country","Republic of",NA
"85","country","Korea, Republic of",NA
"86","country","Laos",NA
"87","country","Latvia",NA
"88","country","Lebanon",NA
"89","country","Lesotho",NA
"90","country","Lithuania",NA
"91","country","Malawi",NA
"92","country","Malaysia",NA
"93","country","Mali",NA
"94","country","Mauritania",NA
"95","country","Mexico",NA
"96","country","Mongolia",NA
"97","country","Morocco",NA
"98","country","Nepal",NA
"99","country","Netherlands",NA
"100","country","New Zealand",NA
"101","country","Nicaragua",NA
"102","country","Niger",NA
"103","country","Nigeria",NA
"104","country","Norway",NA
"105","country","Oman",NA
"106","country","Pakistan",NA
"107","country","Palau",NA
"108","country","Panama",NA
"109","country","Papua New Guinea",NA
"110","country","Peru",NA
"111","country","Philippines",NA
"112","country","Poland",NA
"113","country","Portugal",NA
"114","country","Portuguese Guinea",NA
"115","country","Puerto Rico",NA
"116","country","Russia",NA
"117","country","Rwanda",NA
"118","country","Samoa",NA
"119","country","Senegal",NA
"120","country","Sierra Leone",NA
"121","country","Solomon Islands",NA
"122","country","Somalia",NA
"123","country","South Africa",NA
"124","country","Spain",NA
"125","country","Sri Lanka",NA
"126","country","Sudan",NA
"127","country","Sweden",NA
"128","country","Switzerland",NA
"129","country","Syria",NA
"130","country","Taiwan",NA
"131","country","Tanzania",NA
"132","country","Tasmania",NA
"133","country","Thailand",NA
"134","country","Togo",NA
"135","country","Tunisia",NA
"136","country","Turkey",NA
"137","country","Uganda",NA
"138","country","United Arab Emirates",NA
"139","country","United States",NA
"140","country","Uruguay",NA
"141","country","Vanuatu",NA
"142","country","Venezuela",NA
"143","country","Vietnam",NA
"144","country","Yemen",NA
"145","country","Yugoslavia",NA
"146","country","Zambia",NA
"147","country","Zimbabwe",NA
"148","datum","NAD27",NA
"149","datum","NAD83",NA
"150","datum","WGS84",NA
"151","direction","east",NA
"152","direction","level","no slope"
"153","direction","north",NA
"154","direction","north-east",NA
"155","direction","north-west",NA
"156","direction","south",NA
"157","direction","south-east",NA
"158","direction","south-west",NA
"159","direction","west",NA
"160","dm_agriculture","Crop residue management",NA
"161","dm_agriculture","Harvest",NA
"162","dm_agriculture","Other",NA
"163","dm_encroach","Invasive species",NA
"164","dm_encroach","Other",NA
"165","dm_encroach","Urban encroachment",NA
"166","dm_encroach","Woody encroachment",NA
"167","dm_ext_weather","Drought",NA
"168","dm_ext_weather","Flood",NA
"169","dm_ext_weather","Freeze",NA
"170","dm_ext_weather","Heatwave",NA
"171","dm_ext_weather","Hurricane",NA
"172","dm_ext_weather","Other",NA
"173","dm_ext_weather","Storm",NA
"174","dm_ext_weather","Tornado",NA
"175","dm_fert_m","K",NA
"176","dm_fert_m","Lime",NA
"177","dm_fert_m","N",NA
"178","dm_fert_m","Other",NA
"179","dm_fert_m","P",NA
"180","dm_fert_o","Compost",NA
"181","dm_fert_o","Liquid manure",NA
"182","dm_fert_o","Other",NA
