study_name,table_name,column_name,long_description,unit,control_vocabulary,Confused?,,,,,,,,,,,,,,,,,,,
vanGestel,sites,site.id,The ID name of the site where the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,state.country,The country where the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,site,The name of the site where the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,project,The name of the project for which the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,lat,The latitude of the site,degrees,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,lon,The longitude of the site,degrees,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,elevation,The elevation of the site,meters,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,mat,Mean annual temperature,celcius,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,map,Mean annual percipitation,milimeters,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,treatments,The treatment done to the soil,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,technique,The technique to dry the soil,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,season,The time of year during which the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,biome,The type of terrain where the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,sub.biome,The more specific/descriptive type of biome,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,species,The types of plants/ trees at the sample area,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,soil.type,The classification of the type of soil,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,soil.texture.class,A description of the soil,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,perc.sand,The percent of the soil that is sand,%,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,perc.silt,The percent of the soil that is silt,%,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,perc.clay,The percent of the soil that is clay,%,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,start.date,When the data collection began,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,C.pool.abg,Size of carbon pool above ground,g/m^2,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,C.pool.bwg,Size of carbon pool below ground,g/m^2,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,N.pool.abg,Size of nitrogen pool above ground,g/m^2,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,N.pool.bwg,Size of nitrogen pool below ground,g/m^2,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,P.pool.bwg,Size of phosphorus pool below ground,g/m^2,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,soil.depth.pool,The range of depth of sample,cm,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,Ndep.rate,The nitrogen deposition rate,kg N ha_1 yr_1,,?units,,,,,,,,,,,,,,,,,,,
vanGestel,sites,bulk.density,The bulk density of the sample,g/mL,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,pH,How acidic or basic the soil is,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,percent.om,Percentage of organic matter,%,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,source,The table where the data comes from,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,notes,Misc notes on data,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,sites,Reference,The paper/researchers that the data comes from,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,site.id,The ID name of the site where the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,trt,The treatment done to the soil,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,technique,The technique to dry the soil,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,season,The time of year during which the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,trt.size.bg,The treatment size below ground,"varies, given in column ""trt.size.units""",,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,soilT.depth,The depth of the soil sample,cm,,?units,,,,,,,,,,,,,,,,,,,
vanGestel,soc,trt.size.abg,The treatment size above ground,"varies, given in column ""trt.size.units""",,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,trt.size.units,The units of the treatment size for the previous column,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,start.date,When the data collection began,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,measurement.date,When the collection occured,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,duration,How long the collection went on for,months,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,remove,"Is it a duplicate (N/A or ""duplicate"")",N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,multi.year,"Is it a multi-year collection (N/A or ""yes"")",N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,control.mean,The mean of the control data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,control.se,The standard error of the control data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,control.n,The sample size of the control data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,trt.mean,The mean of the treated data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,trt.se,The standard error of the treated data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,trt.n,The sample size of the treated data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,unit,"The units of the data for which the mean, se, and n was found",N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,variable,"The variable name of the data for which the mean, se, and n was found",N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,soil.horizon,The horizon on which the soil data was taken (similar to depth),,,?units,,,,,,,,,,,,,,,,,,,
vanGestel,soc,bulk.density,The bulk density of the sample,g/mL,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,source,The table where the data comes from,N/A,,,,,,,,,,,,,,,,,,,,,
