variable_location,data_product,data_table,data_column,variable
column_name,ISCN3,layer,13c (‰),13c
column_name,ISCN3,layer,14c (‰),14c
column_name,ISCN3,layer,14c_sigma (‰),14c
column_name,ISCN3,layer,14c_age (BP),age
column_name,ISCN3,layer,14c_age_sigma (BP),age
column_name,ISCN3,layer,15n (‰),15n
column_name,ISCN3,profile,2d_position (2d_position),2d_position
column_name,ISCN3,citation,acknowledgement,acknowledgement
column_name,ISCN3,citation,acknowledgement_usage,acknowledgement_usage
column_name,ISCN3,layer,al_dith (specified by al_fe_units),aluminum_dithionate
column_name,ISCN3,layer,al_other (specified by al_fe_units),aluminum_other
column_name,ISCN3,layer,al_ox (specified by al_fe_units),aluminum_oxalate
column_name,ISCN3,layer,al_fe_units (extract_units),aluminum_ iron
column_name,ISCN3,layer,al_fe_method,aluminum_ iron
column_name,ISCN3,profile,aspect_deg,aspect_degree
column_name,ISCN3,layer,base_sum (specified by cec_h_units),base_sum
column_name,ISCN3,layer,cec_h_units (extract_units),base_sum
column_name,ISCN3,layer,bs (percent),base_saturation
column_name,ISCN3,layer,bs_sum (percent),base_saturation_sum
column_name,ISCN3,layer,bd_method,bulk_density
column_name,ISCN3,layer,bdNRCS_prep_code,bulk_density
column_name,ISCN3,layer,bd_other (g cm-3),bulk_density
column_name,ISCN3,layer,bd_samp (g cm-3),bulk_density
column_name,ISCN3,layer,bd_tot (g cm-3),bulk_density
column_name,ISCN3,layer,bd_whole (g cm-3),bulk_density
column_name,ISCN3,layer,c_to_n (mass ratio),carbon_to_nitrogen
column_name,ISCN3,layer,cNRCS_prep_code,total_carbon
column_name,ISCN3,layer,c_method,total_carbon
column_name,ISCN3,layer,c_tot (percent),total_carbon
column_name,ISCN3,layer,ca_al (specified by bc_units),calcium_ aluminum
column_name,ISCN3,layer,bc_units (extract_units),calcium_ aluminum
column_name,ISCN3,layer,bc_method,calcium_ aluminum
column_name,ISCN3,layer,ca_ext (specified by bc_units),calcium_ extractable
column_name,ISCN3,layer,bc_units (extract_units),calcium_ extractable
column_name,ISCN3,layer,bc_method,calcium_ extractable
column_name,ISCN3,layer,caco3 (percent),caco3
column_name,ISCN3,layer,cat_exch (cmol H+ kg-1),cation_exchange_capacity
column_name,ISCN3,layer,cec_sum (specified by cec_h_units),exchangeable_cations_sum
column_name,ISCN3,layer,cec_h_units (extract_units),exchangeable_cations_sum
column_name,ISCN3,citation,citation,citation
column_name,ISCN3,citation,citation_usage,citation
column_name,ISCN3,layer,clay_tot_psa (percent),clay
column_name,ISCN3,layer,color,color
column_name,ISCN3,dataset,contact_email,contact_email
column_name,ISCN3,dataset,contact_name,contact_name
column_name,ISCN3,profile,country (country),country
column_name,ISCN3,layer,country (country),country
column_name,ISCN3,citation,curator_email,curator_email
column_name,ISCN3,dataset,curator_email,curator_email
column_name,ISCN3,citation,curator_name,curator_name
column_name,ISCN3,dataset,curator_name,curator_name
column_name,ISCN3,citation,curator_organization,curator_organization
column_name,ISCN3,dataset,curator_organization,curator_organization
column_name,ISCN3,dataset,dataset_description,dataset_description
column_name,ISCN3,citation,dataset_name,dataset_name
column_name,ISCN3,dataset,dataset_name,dataset_name
column_name,ISCN3,profile,dataset_name_sub,dataset_name
column_name,ISCN3,layer,dataset_name_sub,dataset_name
column_name,ISCN3,citation,dataset_type (dataset_type),dataset_type
column_name,ISCN3,dataset,dataset_type (dataset_type),dataset_type
column_name,ISCN3,profile,datum (datum),datum
column_name,ISCN3,layer,datum (datum),datum
column_name,ISCN3,profile,drainagecl (drainage),drainage_class
column_name,ISCN3,layer,ecec (specified by cec_h_units),effective_cation_exchange_capacity
column_name,ISCN3,layer,cec_h_units (extract_units),effective_cation_exchange_capacity
column_name,ISCN3,profile,ecoregion,ecoregion
column_name,ISCN3,profile,elevation (m),elevation
column_name,ISCN3,layer,fe_dith (specified by al_fe_units),iron_dithionate
column_name,ISCN3,layer,fe_other (specified by al_fe_units),iron_other
